account,date,daily_pnl,trades_count,win_rate,avg_trade_size,long_ratio,sentiment,frequency_segment,pnl_std,consistency_segment,profit_bucket,sentiment_encoded
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,839,0.30512514898688914,23593.019856972587,0.4171632896305125,Fear,Frequent,150401.79734551374,Inconsistent,1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,531,0.15630885122410546,10576.687156308852,0.20903954802259886,Greed,Frequent,150401.79734551374,Inconsistent,1,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,210,0.37142857142857144,26585.06338095238,0.37142857142857144,Neutral,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,141,0.9361702127659575,10161.056241134751,0.9361702127659575,Neutral,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,48,0.3333333333333333,32032.5,0.3333333333333333,Fear,Frequent,150401.79734551374,Inconsistent,1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,6,0.0,134600.00166666668,0.0,Neutral,Infrequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,59,0.5254237288135594,27178.041694915253,0.5254237288135594,Neutral,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,219,0.4246575342465753,13233.776894977169,0.4246575342465753,Fear,Frequent,150401.79734551374,Inconsistent,1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,55,0.01818181818181818,24958.908545454546,0.01818181818181818,Extreme Fear,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,45,0.8,2985.797555555556,0.8,Extreme Fear,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,641,0.8424336973478939,8371.136099843994,0.8424336973478939,Fear,Frequent,150401.79734551374,Inconsistent,1,0.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,5,0.8,79640.0,0.8,Neutral,Infrequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,31,1.0,21491.640322580646,1.0,Fear,Frequent,150401.79734551374,Inconsistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-11-30,11715.94323,55,0.8363636363636363,2469.9509090909087,0.14545454545454545,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-01,0.0,1,0.0,0.06,0.0,Extreme Greed,Infrequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-06,0.0,34,0.0,1426.8700000000001,1.0,Greed,Frequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-07,3515.031065,26,0.9615384615384616,2001.101153846154,0.0,Extreme Greed,Infrequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-09,0.0,46,0.0,1131.888695652174,1.0,Extreme Greed,Frequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-10,2517.787385,64,0.984375,852.88625,0.0,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-18,1613.165903,59,0.2542372881355932,1913.523898305085,0.7457627118644068,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-19,0.0,1,0.0,0.11,0.0,Extreme Greed,Infrequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-12-20,1245.51851,34,0.6176470588235294,10051.199411764705,0.38235294117647056,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-13,0.0,13,0.0,2845.9646153846156,1.0,Greed,Infrequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-17,4493.232479,17,1.0,2440.6282352941175,0.0,Extreme Greed,Infrequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-18,1047.030992,39,0.717948717948718,2154.3915384615384,0.2564102564102564,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-19,4842.054317,124,0.6451612903225806,2194.294758064516,0.3467741935483871,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-24,1693.493165,339,0.584070796460177,1737.369557522124,0.415929203539823,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-25,4221.156399,54,0.07407407407407407,2398.331666666667,0.9259259259259259,Extreme Greed,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-27,0.0,44,0.0,1519.465681818182,1.0,Greed,Frequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-28,6899.2458320000005,56,1.0,1317.0667857142857,0.0,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-29,0.0,46,0.0,1602.9452173913044,1.0,Greed,Frequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-01-30,7372.485101,55,1.0,1474.6896363636365,0.0,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-01,1162.002541,78,0.32051282051282054,2094.719358974359,0.6794871794871795,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-02,6352.452613,517,0.4506769825918762,2792.42166344294,0.5222437137330754,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-11,-12346.990829,124,0.0,612.1092741935485,0.0,Neutral,Frequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-12,355.5854,159,0.7987421383647799,2687.4032704402516,0.1949685534591195,Neutral,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-24,1129.8489260000001,160,0.325,1641.2224999999999,0.675,Neutral,Frequent,3603.0422910248762,Consistent,1,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-25,-6820.76955,1,0.0,82910.81,0.0,Fear,Infrequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-28,0.0,52,0.0,1462.824423076923,1.0,Extreme Fear,Frequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-03,2480.902379,110,0.45454545454545453,1999.099181818182,0.5454545454545454,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-04,-3169.3554679999997,65,0.0,1756.5103076923076,0.8461538461538461,Extreme Fear,Frequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-07,0.0,37,0.0,1499.4978378378378,1.0,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-08,2099.019688,47,1.0,1225.1170212765958,0.0,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-09,656.540742,65,0.8769230769230769,2676.518153846154,0.12307692307692308,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-10,-1065.797583,53,0.9622641509433962,3326.2756603773582,0.018867924528301886,Extreme Fear,Frequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-12,1591.753271,53,0.9811320754716981,2184.328113207547,0.018867924528301886,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-13,-2315.377191,27,0.0,4259.311481481482,0.6296296296296297,Neutral,Infrequent,3603.0422910248762,Consistent,0,
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-28,0.0,42,0.0,1460.115,1.0,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-29,-5018.466447,97,0.0,580.479381443299,0.0,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-03-31,716.143949,155,0.535483870967742,730.8744516129032,0.4645161290322581,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-03,0.0,1,0.0,54768.6,1.0,Fear,Infrequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-15,0.0,1,0.0,16.37,1.0,Fear,Infrequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-16,-95.985744,88,0.011363636363636364,780.4484090909092,0.0,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-17,-133.41237,125,0.16,730.92608,0.48,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-18,951.934443,689,0.43686502177068215,766.7829027576198,0.4528301886792453,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-19,371.503,411,0.7226277372262774,552.0850851581508,0.29683698296836986,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-20,-1892.58947,603,0.4129353233830846,963.6022222222223,0.4925373134328358,Fear,Frequent,3603.0422910248762,Consistent,0,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-21,3434.689308,97,1.0,887.6931958762888,0.0,Fear,Frequent,3603.0422910248762,Consistent,1,0.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-23,2654.14315,568,0.5915492957746479,2593.2515492957746,0.3855633802816901,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-24,1867.252909,680,0.48970588235294116,1679.7829852941175,0.5088235294117647,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-25,1969.39321,330,0.12121212121212122,3782.839757575757,0.4909090909090909,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-26,-4648.8710550000005,338,0.0,284.5678402366864,0.0,Greed,Frequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-27,0.0,67,0.0,1435.3307462686569,1.0,Greed,Frequent,3603.0422910248762,Consistent,0,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-04-30,5179.772745,83,1.0,1221.0467469879518,0.0,Greed,Frequent,3603.0422910248762,Consistent,1,1.0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-05-01,1243.853569,250,0.324,815.50576,0.676,Neutral,Frequent,3603.0422910248762,Consistent,1,
0x271b280974205ca63b716753467d5a371de622ab,2024-07-15,-1.0,5,0.0,6070.2,0.4,Neutral,Infrequent,33420.410013838264,Inconsistent,0,
0x271b280974205ca63b716753467d5a371de622ab,2024-11-29,1584.342755,1,1.0,1584.35,0.0,Extreme Greed,Infrequent,33420.410013838264,Inconsistent,1,
0x271b280974205ca63b716753467d5a371de622ab,2024-12-05,208.81746,4,0.75,39530.9875,0.75,Extreme Greed,Infrequent,33420.410013838264,Inconsistent,1,
0x271b280974205ca63b716753467d5a371de622ab,2025-04-09,16706.884912,797,0.37641154328732745,6131.710464240904,0.3450439146800502,Extreme Fear,Frequent,33420.410013838264,Inconsistent,1,
0x271b280974205ca63b716753467d5a371de622ab,2025-04-10,13264.043303999999,339,0.5575221238938053,21898.95651917404,0.6814159292035398,Fear,Frequent,33420.410013838264,Inconsistent,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-19,5942.547242,313,0.12779552715654952,8678.024504792333,0.12779552715654952,Fear,Frequent,33420.410013838264,Inconsistent,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-20,8277.307357,863,0.49130938586326767,3079.8473348783314,0.4843568945538818,Fear,Frequent,33420.410013838264,Inconsistent,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-21,2638.012587,353,0.17280453257790368,1965.9329745042492,0.17280453257790368,Fear,Frequent,33420.410013838264,Inconsistent,1,0.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-22,-19037.340561,594,0.0,8110.89095959596,0.39225589225589225,Neutral,Frequent,33420.410013838264,Inconsistent,0,
0x271b280974205ca63b716753467d5a371de622ab,2025-04-23,-108176.9187,469,0.14072494669509594,20030.785479744136,0.5031982942430704,Greed,Frequent,33420.410013838264,Inconsistent,0,1.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-24,8157.112326,70,0.9428571428571428,15603.565285714287,0.9571428571428572,Greed,Frequent,33420.410013838264,Inconsistent,1,1.0
0x271b280974205ca63b716753467d5a371de622ab,2025-04-25,0.0,1,0.0,0.17,0.0,Greed,Infrequent,33420.410013838264,Inconsistent,0,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-16,159.100072,93,0.17204301075268819,373.7049462365591,0.5268817204301075,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,95,0.35789473684210527,353.5228421052631,0.47368421052631576,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,162,0.41358024691358025,666.941975308642,0.4382716049382716,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-19,233.36546,213,0.48826291079812206,895.9638028169014,0.539906103286385,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-20,-316.245208,407,0.3464373464373464,2149.553218673219,0.4619164619164619,Extreme Greed,Frequent,2993.2847018942703,Consistent,0,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-21,780.001314,446,0.34977578475336324,729.007130044843,0.5,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-22,141.21958999999998,433,0.3117782909930716,422.0099076212471,0.48036951501154734,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-23,673.6312,156,0.40384615384615385,333.45923076923077,0.48717948717948717,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-24,108.321127,69,0.42028985507246375,200.7391304347826,0.782608695652174,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-25,464.281002,225,0.4222222222222222,324.3673333333333,0.4711111111111111,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-26,-508.290641,217,0.35023041474654376,1012.5778341013826,0.5852534562211982,Extreme Greed,Frequent,2993.2847018942703,Consistent,0,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-27,193.66415899999998,169,0.4378698224852071,1110.83224852071,0.40828402366863903,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-28,165.532644,207,0.37681159420289856,946.0768115942029,0.5603864734299517,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-29,9551.73423,206,0.44660194174757284,388.948786407767,0.4223300970873786,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-30,5590.528248,154,0.461038961038961,315.52253246753247,0.38961038961038963,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-01,4458.25495,193,0.5025906735751295,247.12725388601035,0.34196891191709844,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-02,1283.846047,140,0.5214285714285715,140.36935714285713,0.5,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-03,1190.358719,78,0.47435897435897434,92.37217948717948,0.358974358974359,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-04,9066.169646,112,0.5357142857142857,165.78285714285715,0.26785714285714285,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-05,14685.787664,98,0.4897959183673469,259.2459183673469,0.336734693877551,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-06,389.176232,69,0.2318840579710145,129.80536231884057,0.391304347826087,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-07,4008.012049,86,0.4186046511627907,159.67825581395348,0.23255813953488372,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-08,554.009942,102,0.4215686274509804,77.67176470588235,0.30392156862745096,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-09,768.430838,213,0.5915492957746479,88.1318309859155,0.7934272300469484,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-10,980.557461,157,0.6751592356687898,119.62222929936306,0.7452229299363057,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-11,1582.001112,93,0.34408602150537637,124.41204301075268,0.17204301075268819,Greed,Frequent,2993.2847018942703,Consistent,1,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-12,5806.86932,147,0.5578231292517006,150.14530612244897,0.19047619047619047,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-13,1522.284412,155,0.45806451612903226,88.59193548387097,0.535483870967742,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-14,13281.73126,154,0.7727272727272727,187.5361038961039,0.2922077922077922,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,137,0.49635036496350365,125.00722627737227,0.44525547445255476,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,230,0.6695652173913044,131.2383043478261,0.3695652173913043,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,181,0.430939226519337,112.67668508287292,0.5414364640883977,Extreme Greed,Frequent,2993.2847018942703,Consistent,1,
